portfolio_set,portfolio_mode,signals,signal_keys,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,trades_per_active_day,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,average_pairwise_daily_correlation,max_pairwise_daily_correlation,trade_overlap_count,skipped_overlap_count,skipped_session_count,phase13a_net_contribution,phase14a_net_contribution,phase13a_trade_count,phase14a_trade_count,phase13a_active_days,phase14a_active_days,incremental_active_days_from_phase13a,incremental_active_days_from_phase14a,phase14a_days_existing_no_trade,phase14a_days_existing_negative_pnl,concentration_delta_vs_audit_b_best,fold_delta_vs_audit_b_best,drawdown_delta_vs_audit_b_best,activity_delta_vs_audit_b_best,official_gates_passed,portfolio_label,research_status,paper_trading_approved
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,5721.91,5219.91,1818.39,3519.64,5721.91,5478.91,0.666667,-1239.63,502,243,2.065844,-1460.55,0.160003,0.158297,0.429413,0.551966,0.133027,0.999252,0,191,0,415.93,682.49,95,118,93,90,19,9,9,49,0.018658,-0.166666,-342.56,44.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
top_cross_family_plus_13a_14a,max_one_trade_per_session,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2564.75,2321.75,1531.8,2010.93,2564.75,2321.75,0.5,-1016.38,243,243,1.0,-1564.49,0.242035,0.242035,0.566051,0.871352,0.133027,0.999252,0,0,450,-153.6,788.72,47,19,47,19,47,19,9,5,0.078223,-0.333333,-514.45,44.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
diversifier_only_13a_14a,raw_sum_diagnostic,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2559.97,2172.97,3062.43,1342.23,2559.97,2374.97,0.5,-1573.26,387,185,2.091892,-3250.94,0.399333,0.242487,0.814885,0.769462,0.275815,0.999252,139,0,0,1762.0,797.97,246,141,123,108,77,62,62,22,0.295511,-0.333333,-2028.23,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
diversifier_only_13a_14a,one_trade_at_a_time_chronological,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,1081.29,824.29,1207.32,1447.51,1081.29,896.29,0.5,-1199.49,257,185,1.389189,-2373.24,0.759759,0.574092,1.323697,1.756975,0.275815,0.999252,0,130,0,407.66,673.63,125,132,121,100,85,64,62,19,0.618414,-0.333333,-1255.25,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
diversifier_only_13a_14a,max_one_trade_per_session,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,1120.22,935.22,1250.98,351.11,1120.22,935.22,0.5,-563.06,185,185,1.0,-1308.21,0.554141,0.554141,1.067451,1.441056,0.275815,0.999252,0,0,202,754.7,365.52,108,77,108,77,108,77,62,7,0.390329,-0.333333,-258.17,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
prior_level_diversifiers_only,raw_sum_diagnostic,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2559.97,2172.97,3062.43,1342.23,2559.97,2374.97,0.5,-1573.26,387,185,2.091892,-3250.94,0.399333,0.242487,0.814885,0.769462,0.275815,0.999252,139,0,0,1762.0,797.97,246,141,123,108,77,62,62,22,0.295511,-0.333333,-2028.23,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
prior_level_diversifiers_only,one_trade_at_a_time_chronological,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,1081.29,824.29,1207.32,1447.51,1081.29,896.29,0.5,-1199.49,257,185,1.389189,-2373.24,0.759759,0.574092,1.323697,1.756975,0.275815,0.999252,0,130,0,407.66,673.63,125,132,121,100,85,64,62,19,0.618414,-0.333333,-1255.25,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
prior_level_diversifiers_only,max_one_trade_per_session,4,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,1120.22,935.22,1250.98,351.11,1120.22,935.22,0.5,-563.06,185,185,1.0,-1308.21,0.554141,0.554141,1.067451,1.441056,0.275815,0.999252,0,0,202,754.7,365.52,108,77,108,77,108,77,62,7,0.390329,-0.333333,-258.17,-14.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
all_parked_modules_with_13a_14a,raw_sum_diagnostic,20,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,31684.14,29927.14,8917.96,17135.63,31684.14,31441.14,0.833333,-5046.37,1757,243,7.230453,-5488.48,0.157957,0.028587,0.413544,0.142936,0.287199,1.0,2854,0,0,1762.0,797.97,246,141,123,108,25,3,3,54,0.054135,0.0,-4265.77,44.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,20,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,-3772.54,-4676.54,-1354.64,2666.35,-3772.54,-4015.54,0.333333,-3051.72,904,243,3.720165,-7476.15,1.0,1.0,1.0,1.0,0.287199,1.0,0,853,0,840.39,862.15,91,106,89,86,29,4,3,44,0.858655,-0.5,-6358.16,44.0,False,portfolio_c_failed_negative,no_portfolio_benefit,False
