phase,candidate_id,family,plain_english_rule,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,bootstrap_or_null_classification,signal_evidence_status,tradability_status,research_track,revisit_condition,source_report
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,969.7,898.7,729.27,912.14,1721.29,0.0,71,71,0.574673,0.574673,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,969.7,898.7,729.27,912.14,1721.29,0.0,71,71,0.574673,0.574673,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1001.57,917.57,764.92,2095.74,1949.82,0.0,84,84,0.57985,0.57985,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1001.57,917.57,764.92,2095.74,1949.82,0.0,84,84,0.57985,0.57985,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,996.36,947.36,534.01,749.88,1476.23,0.0,49,49,0.559296,0.559296,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
