module_id,phase,candidate_id,source_family,market_condition,module_family,portfolio_role,plain_english_rule,signal_evidence_status,tradability_status,research_track,portfolio_contribution_status,official_gates_passed,paper_trading_approved,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,level_source,source_window,trade_window,source_report
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,996.36,947.36,534.01,749.88,1476.23,0.0,49,49,0.559296,0.559296,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,996.36,947.36,534.01,749.88,1476.23,0.0,49,49,0.559296,0.559296,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,,,,,,,,reports/phase10b_research_signal_packet.md
MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,range_day,fade,parked_module,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,,,,,,,,reports/phase11a_research_signal_packet.md
