phase13a_rank,candidate_id,instrument,family,branch,side,entry_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,level_source,build_start,build_end,trade_start,trade_end,behavior,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,invalid_risk_skipped_count,signals_found,skipped_extra_signals_same_day,phase13a_label,signal_evidence_status,tradability_status,research_track,reject_reasons,paper_trading_approved,phase13a_score
31,MNQ_13a_lunch_range_fade_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_fade,lunch_range_fade_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,100,100,1.0,-669.51,-943.51,-1043.51,-353.51,-569.74,-1169.73,1.0,1.0,51.55,55.84,0.6,0.27,0.13,-384.85,-450.85,0.5,-497.13,0.088314,0.151833,0.078523,0.139679,0,100,1268,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-2664.09
32,MNQ_13a_lunch_range_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_fade,lunch_range_fade_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,100,100,1.0,-592.6,-866.6,-966.6,-174.54,-232.92,-1277.89,1.0,1.0,44.83,45.76,0.56,0.25,0.19,-526.85,-585.85,0.333333,-252.91,0.035051,0.07541,0.037651,0.07541,0,100,994,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-2830.34
33,MNQ_13a_lunch_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_fade,lunch_range_fade_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,100,100,1.0,-590.77,-864.77,-964.77,-97.13,-285.67,-1359.81,1.0,1.0,51.73,47.94,0.6,0.0,0.4,-459.39,-518.39,0.166667,-341.25,0.053713,0.075593,0.050826,0.071565,0,100,994,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-2842.97
34,MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,85,85,1.0,-812.9,-1045.81,-1130.81,-210.42,-118.26,-1562.55,1.0,1.0,92.67,89.37,0.447059,0.0,0.552941,-260.63,-311.63,0.5,-257.4,0.075811,0.142841,0.056303,0.150218,0,85,844,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-3004.99
35,MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,78,78,1.0,-333.17,-546.92,-624.92,-165.03,585.5,-1698.9,1.0,1.0,134.89,127.7,0.358974,0.0,0.641026,-678.81,-728.81,0.5,-590.71,0.112556,0.169552,0.06583,0.144652,0,78,1921,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-3052.63
36,MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,79,79,1.0,-526.59,-743.07,-822.07,844.68,341.27,-2117.14,1.0,1.0,141.13,131.13,0.43038,0.0,0.56962,-92.66,-143.66,0.5,-481.89,0.061703,0.129288,0.05515,0.165905,0,79,2073,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-3082.87
37,MNQ_13a_prior_rth_high_low_sweep_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,49,49,1.0,-1068.19,-1202.45,-1251.45,-523.1,198.06,-1470.47,1.0,1.0,78.71,107.3,0.469388,0.163265,0.367347,-498.17,-531.17,0.5,-535.16,0.2255,0.332945,0.207088,0.327681,0,49,824,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; low activity; fold instability; concentration,False,-3253.09
38,MNQ_13a_lunch_range_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_fade,lunch_range_fade_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,87,87,1.0,-1200.51,-1438.89,-1525.89,72.67,-823.14,-1467.15,1.0,1.0,64.77,69.48,0.574713,0.0,0.425287,-335.13,-390.13,0.5,-497.61,0.066556,0.093493,0.047753,0.12789,0,87,1082,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-3383.17
39,MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,85,85,1.0,-935.4,-1168.31,-1253.31,-210.42,-268.76,-1724.55,1.0,1.0,90.26,88.85,0.435294,0.070588,0.494118,-422.63,-473.63,0.333333,-257.4,0.081295,0.155553,0.056248,0.16082,0,85,844,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-3451.49
40,MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,94,94,1.0,-857.45,-1115.01,-1209.01,-215.23,179.44,-1882.04,1.0,1.0,91.05,86.4,0.5,0.0,0.5,-363.13,-421.13,0.5,-406.78,0.068012,0.133451,0.072591,0.145316,0,94,1026,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-3512.18
41,MNQ_13a_lunch_range_fade_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_fade,lunch_range_fade_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,100,100,1.0,-1132.94,-1406.94,-1506.94,-464.51,-722.74,-1500.58,1.0,1.0,58.2,60.14,0.63,0.0,0.37,-620.85,-686.85,0.333333,-539.13,0.078685,0.129613,0.061764,0.117466,0,100,1268,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-3694.37
42,MNQ_13a_prior_rth_high_low_sweep_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,49,49,1.0,-1234.2,-1368.46,-1417.46,-826.36,470.06,-1815.78,1.0,1.0,81.39,110.69,0.489796,0.0,0.510204,-677.18,-710.18,0.333333,-624.66,0.183434,0.261278,0.180254,0.283479,0,49,824,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; low activity; fold instability; concentration,False,-3943.42
43,MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,86,86,1.0,-532.31,-767.95,-853.95,-346.22,-1013.47,-1787.13,1.0,1.0,100.69,75.0,0.686047,0.0,0.313953,-1578.19,-1630.19,0.0,-558.08,0.163625,0.30017,0.111763,0.250682,0,86,1179,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-4271.27
44,MNQ_13a_prior_rth_high_low_sweep_fade_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,57,57,1.0,-1464.46,-1620.64,-1677.64,-171.8,-103.69,-1693.95,1.0,1.0,80.0,100.84,0.614035,0.052632,0.333333,-917.11,-955.11,0.0,-442.96,0.210323,0.283453,0.150748,0.307053,0,57,943,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; low activity; fold instability; concentration,False,-4326.7
45,MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,77,77,1.0,-797.15,-1008.13,-1085.13,-443.0,-773.57,-1648.42,1.0,1.0,90.88,78.31,0.623377,0.0,0.376623,-1624.26,-1671.26,0.0,-537.42,0.193854,0.357171,0.134739,0.305442,0,77,1033,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-4404.81
46,MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,86,86,1.0,-804.31,-1039.95,-1125.95,-183.22,-1093.72,-1745.93,1.0,1.0,91.08,75.0,0.686047,0.116279,0.197674,-1690.69,-1742.69,0.166667,-618.33,0.119933,0.21209,0.07043,0.16581,0,86,1179,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-4614.57
47,MNQ_13a_prior_rth_high_low_sweep_fade_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,57,57,1.0,-1822.47,-1978.65,-2035.65,-383.56,-249.94,-2010.19,1.0,1.0,80.33,104.89,0.631579,0.0,0.368421,-1275.12,-1313.12,0.0,-442.96,0.196633,0.265353,0.140494,0.286294,0,57,943,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; low activity; fold instability; concentration,False,-5358.96
48,MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_sweep_fade,prior_rth_high_low_sweep_fade_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,fade,77,77,1.0,-1530.4,-1741.38,-1818.38,-331.5,-912.82,-2052.76,1.0,1.0,75.86,77.49,0.623377,0.155844,0.220779,-2052.76,-2099.76,0.0,-618.67,0.122302,0.204037,0.072401,0.161023,0,77,1033,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-5970.9
