phase13a_rank,candidate_id,instrument,family,branch,side,entry_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,level_source,build_start,build_end,trade_start,trade_end,behavior,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,invalid_risk_skipped_count,signals_found,skipped_extra_signals_same_day,phase13a_label,signal_evidence_status,tradability_status,research_track,reject_reasons,paper_trading_approved,phase13a_score
11,MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,99,99,1.0,55.79,-215.47,-314.47,-269.01,17.6,-682.06,1.0,1.0,62.03,59.63,0.383838,0.0,0.616162,-110.45,-167.45,0.5,-391.84,0.092917,0.148253,0.074027,0.148253,0,99,498,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1163.98
12,MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,120,120,1.0,85.78,-243.02,-363.02,37.15,627.66,-1085.74,1.0,1.0,59.58,58.3,0.366667,0.025,0.608333,350.5,279.5,0.666667,-301.32,0.064896,0.152863,0.090666,0.152863,0,120,1423,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-1169.26
13,MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,82,82,1.0,-148.32,-372.99,-454.99,-364.53,5.6,-626.79,1.0,1.0,61.99,51.21,0.378049,0.0,0.621951,-152.3,-200.3,0.333333,-191.6,0.174845,0.264148,0.091386,0.207491,0,82,369,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1282.08
14,MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,82,82,1.0,-150.32,-374.99,-456.99,-364.53,5.6,-628.79,1.0,1.0,61.99,51.21,0.378049,0.012195,0.609756,-154.3,-202.3,0.333333,-191.6,0.174983,0.264287,0.091495,0.207548,0,82,369,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1288.08
15,MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,118,118,1.0,136.34,-186.98,-304.98,1034.33,-444.41,-1185.77,1.0,1.0,83.8,86.19,0.29661,0.0,0.70339,261.44,191.44,0.666667,-855.99,0.068246,0.225346,0.101195,0.225346,0,118,3141,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1299.31
16,MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_fade,lunch_range_fade_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,116,116,1.0,-28.88,-346.72,-462.72,240.73,-264.21,-754.75,1.0,1.0,52.83,39.91,0.612069,0.189655,0.198276,-68.33,-135.33,0.333333,-405.51,0.033481,0.052268,0.036175,0.056636,0,116,1179,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1352.8
17,MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,89,89,1.0,-41.33,-285.19,-374.19,-219.33,159.05,-638.74,1.0,1.0,42.19,38.85,0.47191,0.382022,0.146067,-300.45,-348.45,0.5,-340.21,0.02047,0.104349,0.046544,0.104349,0,89,456,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1361.38
18,MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,74,74,1.0,194.17,-8.59,-82.59,640.32,-838.14,-978.73,1.0,1.0,81.45,62.82,0.432432,0.0,0.567568,-295.4,-342.4,0.333333,-584.14,0.063796,0.120344,0.06524,0.128938,0,74,356,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1403.72
19,MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,108,108,1.0,-82.46,-378.38,-486.38,-336.28,310.51,-772.09,1.0,1.0,41.51,38.92,0.592593,0.268519,0.138889,-100.12,-159.12,0.333333,-224.4,0.007846,0.068387,0.024876,0.068387,0,108,597,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1417.59
20,MNQ_13a_lunch_range_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_fade,lunch_range_fade_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,87,87,1.0,-377.19,-615.58,-702.58,442.7,-488.38,-933.08,1.0,1.0,53.97,56.16,0.45977,0.402299,0.137931,224.39,169.39,0.666667,-293.7,0.082285,0.118096,0.053241,0.108795,0,87,1082,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1466.27
