candidate_id,fold,segment_start,segment_end,trades,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,21,-1984.04,-2005.04,-2477.34,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,14,-667.36,-681.36,-679.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,14,530.14,516.14,-185.96,0.61165,0.61165
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,15,465.9,450.9,-380.48,0.680962,0.680962
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,16,538.16,522.16,-480.22,0.937008,0.937008
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,22,305.72,283.72,-539.2,0.524205,0.524205
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,19,-1088.06,-1107.06,-1581.36,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,26,-1079.24,-1105.24,-1294.78,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,25,519.0,494.0,-272.74,0.685973,0.624778
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,28,783.78,755.78,-357.72,0.527597,0.404782
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,28,421.78,393.78,-598.2,1.238845,1.195552
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,38,623.38,585.38,-260.22,0.514967,0.439956
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,34,-2125.66,-2159.66,-2706.1,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,25,-791.0,-816.0,-995.3,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,23,467.48,444.48,-272.74,0.761573,0.693634
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,23,294.98,271.98,-522.72,1.401858,1.075531
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,26,-94.74,-120.74,-579.46,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,36,172.86,136.86,-393.22,1.85711,1.586602
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,31,-1077.94,-1108.94,-1745.62,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,13,534.38,521.38,-380.18,0.939893,0.939893
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,13,1141.88,1128.88,-308.98,0.456055,0.456055
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,11,460.36,449.36,-381.94,1.088844,1.088844
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,4,2026-03-19,2026-04-22,12,-313.38,-325.38,-627.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,5,2026-04-23,2026-05-27,10,-573.65,-583.65,-396.91,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,12,-1120.38,-1132.38,-1932.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,12,-607.38,-619.38,-535.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,13,782.88,769.88,-555.48,0.665185,0.665185
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,9,288.34,279.34,-115.22,0.758688,0.758688
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,12,-313.38,-325.38,-627.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,9,-438.91,-447.91,-262.17,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,11,-509.64,-520.64,-1498.94,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,20,447.2,427.2,-319.9,0.770394,1.123122
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,22,619.72,597.72,-610.72,0.657587,0.840315
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,16,615.16,599.16,-520.92,0.927434,0.814845
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,18,7.43,-10.57,-615.2,36.106326,23.049798
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,14,-801.86,-815.86,-724.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,20,-603.8,-623.8,-2509.38,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,16,-522.34,-538.34,-450.6,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,21,686.96,665.96,-703.22,0.701671,0.758065
